Fight_ID,Red_Corner_Fighter,Blue_Corner_Fighter,Red_Fighter_odds,Blue_Fighter_odds,Winner
0,Kevin Lee,Charles Oliveira,-145.0,135.0,Blue
1,Demian Maia,Gilbert Burns,160.0,-170.0,Blue
2,Renato Moicano,Damir Hadzovic,-345.0,315.0,Red
3,Johnny Walker,Nikita Krylov,-137.0,127.0,Blue
4,Francisco Trinaldo,John Makdessi,-160.0,150.0,Red
5,Jussier Formiga,Brandon Moreno,-150.0,140.0,Blue
6,Amanda Ribas,Randa Markos,-345.0,315.0,Red
7,Elizeu Dos Santos,Aleksei Kunchenko,-122.0,112.0,Red
8,Rani Yahya,Enrique Barzola,170.0,-185.0,Draw
9,Mayra Bueno Silva,Maryna Moroz,-140.0,130.0,Blue
10,Bruno Silva,David Dvorak,-110.0,100.0,Blue
11,Veronica Macedo,Bea Malecki,-155.0,145.0,Blue
12,Israel Adesanya,Yoel Romero,-260.0,240.0,Red
13,Weili Zhang,Joanna Jedrzejczyk,-185.0,170.0,Red
14,Beneil Dariush,Drakkar Klose,-162.0,152.0,Red
15,Neil Magny,Li Jingliang,157.0,-167.0,Red
16,Alex Oliveira,Max Griffin,-125.0,115.0,Red
17,Sean O'Malley,Jose Quinonez,-330.0,300.0,Red
18,Mark Madsen,Austin Hubbard,-215.0,195.0,Red
19,Rodolfo Vieira,Saparbeg Safarov,-570.0,480.0,Red
20,Gerald Meerschaert,Deron Winn,125.0,-135.0,Red
21,Jamall Emmers,Giga Chikadze,-170.0,160.0,Blue
22,Danaa Batgerel,Guido Cannetti,-120.0,110.0,Red
23,Joseph Benavidez,Deiveson Figueiredo,-150.0,130.0,Blue
24,Felicia Spencer,Zarah Fairn,-870.0,585.0,Red
25,Ion Cutelaba,Magomed Ankalaev,185.0,-225.0,Blue
26,Megan Anderson,Norma Dumont,-245.0,205.0,Red
27,Grant Dawson,Darrick Minner,-475.0,380.0,Red
28,Gabriel Silva,Kyler Phillips,-130.0,110.0,Blue
29,Brendan Allen,Tom Breese,110.0,-130.0,Red
30,Luis Pena,Steve Garcia,-270.0,230.0,Red
31,Marcin Tybura,Serghei Spivac,100.0,-120.0,Red
32,Jordan Griffin,TJ Brown,-135.0,115.0,Red
33,Aalon Cruz,Spike Carlyle,-190.0,165.0,Blue
34,Sean Brady,Ismail Naurdiev,105.0,-125.0,Red
35,Paul Felder,Dan Hooker,130.0,-150.0,Blue
36,Jim Crute,Michal Oleksiejczuk,100.0,-120.0,Red
37,Karolina Kowalkiewicz,Yan Xiaonan,225.0,-265.0,Blue
38,Ben Sosoli,Marcos Rogerio De Lima,130.0,-150.0,Blue
39,Brad Riddell,Magomed Mustafaev,120.0,-140.0,Red
40,Kevin Aguilar,Zubaira Tukhugov,-115.0,-105.0,Blue
41,Jalin Turner,Joshua Culibao,-210.0,175.0,Red
42,Jake Matthews,Emil Meek,-200.0,170.0,Red
43,Callan Potter,Song Kenan,170.0,-200.0,Blue
44,Kai Kara France,Tyson Nam,-260.0,220.0,Red
45,Loma Lookboonmee,Angela Hill,155.0,-175.0,Blue
46,Priscila Cachoeira,Shana Dobson,180.0,-220.0,Red
47,Francis Ngannou,Junior Dos Santos,-220.0,180.0,Red
48,Jussier Formiga,Joseph Benavidez,105.0,-125.0,Blue
49,Demian Maia,Rocco Martin,-190.0,165.0,Red
50,Roosevelt Roberts,Vinc Pichel,-245.0,205.0,Blue
51,Drew Dober,Marco Polo Reyes,-430.0,345.0,Red
52,Alonzo Menifield,Paul Craig,-350.0,290.0,Red
53,Ricardo Ramos,Journey Newson,-380.0,315.0,Red
54,Eryk Anders,Vinicius Moreira,-300.0,250.0,Red
55,Jared Gordon,Dan Moret,-350.0,290.0,Red
56,Dalcha Lungiambula,Dequan Townsend,-420.0,335.0,Red
57,Emily Whitmire,Amanda Ribas,-175.0,155.0,Blue
58,Maurice Greene,Junior Albini,-125.0,105.0,Red
59,Renato Moicano,Chan Sung Jung,-220.0,180.0,Blue
60,Bryan Barberena,Randy Brown,-235.0,195.0,Blue
61,Andre Ewell,Anderson Dos Santos,-140.0,120.0,Red
62,Andrea Lee,Montana De La Rosa,-185.0,160.0,Red
63,Kevin Holland,Alessio Di Chirico,-230.0,190.0,Red
64,Dan Ige,Kevin Aguilar,120.0,-140.0,Red
65,Ashley Yoder,Syuri Kondo,-140.0,120.0,Red
66,Matt Wiman,Luis Pena,315.0,-380.0,Blue
67,Allen Crowder,Jairzinho Rozenstruik,190.0,-230.0,Blue
68,Ariane Lipski,Molly McCann,-255.0,215.0,Blue
69,Deron Winn,Eric Spicely,-360.0,300.0,Red
70,Jon Jones,Thiago Santos,-670.0,485.0,Red
71,Amanda Nunes,Holly Holm,-360.0,300.0,Red
72,Jorge Masvidal,Ben Askren,180.0,-220.0,Red
73,Jan Blachowicz,Luke Rockhold,220.0,-260.0,Red
74,Diego Sanchez,Michael Chiesa,315.0,-380.0,Blue
75,Gilbert Melendez,Arnold Allen,260.0,-320.0,Blue
76,Marlon Vera,Nohelin Hernandez,-470.0,375.0,Red
77,Caludia Gadelha,Randa Markos,-200.0,170.0,Red
78,Alejandro Perez,Song Yadong,185.0,-225.0,Blue
79,Edmen Shahbazyan,Jack Marshman,-570.0,480.0,Red
80,Ismail Naurdiev,Chance Rencountre,-570.0,435.0,Blue
81,Julia Avila,Pannie Kianzad,-250.0,210.0,Red
82,Corey Anderson,Jan Blachowicz,-235.0,195.0,Blue
83,Diego Sanchez,Michel Pereira,135.0,-155.0,Red
84,Montana De La Rosa,Mara Romero Borella,-175.0,155.0,Red
85,Brok Weaver,Kazula Vargas,-270.0,230.0,Red
86,Rogerio Bontorin,Ray Borg,130.0,-150.0,Blue
87,Lando Vannata,Yancy Medeiros,-120.0,100.0,Red
88,Tim Means,Daniel Rodriguez,-345.0,285.0,Blue
89,John Dodson,Nathaniel Wood,130.0,-150.0,Red
90,Jim Miller,Scott Holtzman,115.0,-135.0,Blue
91,Devin Clark,Dequan Townsend,-400.0,325.0,Red
92,Casey Kenney,Merab Dvalishvili,150.0,-170.0,Blue
93,Macy Chiasson,Shanna Young,-800.0,550.0,Red
94,Mark De La Rosa,Raulian Paiva,205.0,-245.0,Blue
