Fight_ID,Red_Corner_Fighter,Blue_Corner_Fighter,Red_Fighter_odds,Blue_Fighter_odds,Winner,Red_profit_on_a_100_credit_winnin_bet,Blue_profit_on_a_100_credit_winnin_bet
0,Anthony Smith,Devin Clark,-139,115,Red,71.94244604,115.0
1,Miguel Baeza,Takashi Sato,-175,140,Red,57.14285714,140.0
2,Josh Parisian,Parker Porter,-200,160,Blue,50.0,160.0
3,Spike Carlyle,Bill Algeo,-177,140,Blue,56.49717514,140.0
4,Ashlee Evans-Smith,Norma Dumont,-137,110,Blue,72.99270073,110.0
5,Jonathan Pearce,Kai Kamaka,245,-335,Red,245.0,29.85074627
6,Martin Day,Anderson Dos Santos,-167,135,Blue,59.88023952,135.0
7,Gina Mazany,Rachael Ostovich,-200,160,Red,50.0,160.0
8,Su Mudaerji,Malcolm Gordon,-335,250,Red,29.85074627,250.0
9,Luke Sanders,Nate Maness,-155,125,Blue,64.51612903,125.0
10,Deiveson Figueiredo,Alex Perez,-286,225,Red,34.96503497,225.0
11,Valentina Shevchenko,Jennifer Maia,-1667,850,Red,5.99880024,850.0
12,Mike Perry,Tim Means,-150,120,Blue,66.66666667,120.0
13,Katlyn Chookagian,Cynthia Calvillo,205,-265,Red,205.0,37.73584906
14,Mauricio Rua,Paul Craig,150,-190,Blue,150.0,52.63157895
15,Brandon Moreno,Brandon Royval,-190,150,Red,52.63157895,150.0
16,Joaquin Buckley,Jordan Wright,-265,205,Red,37.73584906,205.0
17,Antonina Shevchenko,Ariane Lipski,-167,130,Red,59.88023952,130.0
18,Daniel Rodriguez,Nicolas Dalby,-335,250,Blue,29.85074627,250.0
19,Alan Jouban,Jared Gooden,-150,120,Red,66.66666667,120.0
20,Kyle Daukaus,Dustin Stoltzfus,-315,230,Red,31.74603175,230.0
21,Louis Cosce,Sasha Palatnikov,-455,325,Blue,21.97802198,325.0
22,Paul Felder,Rafael Dos Anjos,165,-200,Blue,165.0,50.0
23,Abdul Razak Alhassan,Khaos Williams,-240,185,Blue,41.66666667,185.0
24,Kay Hansen,Cory McKenna,-230,180,Blue,43.47826087,180.0
25,Brendan Allen,Sean Strickland,-118,-106,Blue,84.74576271,94.33962264
26,Ashley Yoder,Miranda Granger,135,-167,Red,135.0,59.88023952
27,Alex Morono,Rhys McKee,-177,140,Red,56.49717514,140.0
28,Randa Markos,Kanako Murata,155,-200,Blue,155.0,50.0
29,Geraldo de Freitas,Tony Gravely,117,-148,Blue,117.0,67.56756757
30,Don'Tale Mayes,Roque Martinez,-265,205,Red,37.73584906,205.0
31,Thiago Santos,Glover Teixeira,-240,190,Blue,41.66666667,190.0
32,Andrei Arlovski,Tanner Boser,235,-305,Red,235.0,32.78688525
33,Raoni Barcelos,Khalid Taha,-400,295,Red,25.0,295.0
34,Claudia Gadelha,Yan Xiaonan,125,-155,Blue,125.0,64.51612903
35,Trevin Giles,Bevon Lewis,100,-125,Red,100.0,80.0
36,Giga Chikadze,Jamey Simmons,-835,525,Red,11.976047900000001,525.0
37,Alexandr Romanov,Marcos Rogerio de Lima,-455,330,Red,21.97802198,330.0
38,Darren Elkins,Eduardo Garagorri,-240,185,Red,41.66666667,185.0
39,Max Griffin,Ramiz Brahimaj,-143,115,Red,69.93006993,115.0
40,Gustavo Lopez,Anthony Birchak,-134,108,Red,74.62686567,108.0
41,Uriah Hall,Anderson Silva,-230,185,Red,43.47826087,185.0
42,Bryce Mitchell,Andre Fili,-150,120,Red,66.66666667,120.0
43,Maurice Greene,Greg Hardy,250,-335,Blue,250.0,29.85074627
44,Kevin Holland,Charlie Ontiveros,-770,500,Red,13.98601399,475.0
45,Bobby Green,Thiago Moises,-335,245,Blue,29.85074627,245.0
46,Chris Gruetzemacher,Alexander Hernandez,315,-435,Blue,315.0,22.98850575
47,Adrian Yanez,Victor Rodriguez,-500,356,Red,20.0,356.0
48,Sean Strickland,Jack Marshman,-375,277,Red,26.66666667,277.0
49,Cole Williams,Jason Witt,119,-148,Blue,119.0,67.56756757
50,Dustin Jacoby,Justin Ledet,-400,296,Red,25.0,296.0
51,Miles Johns,Kevin Natividad,-165,131,Red,60.60606061,131.0
52,Khabib Nurmagomedov,Justin Gaethje,-315,255,Red,31.74603175,255.0
53,Robert Whittaker,Jared Cannonier,-110,-110,Red,90.90909091,90.90909091
54,Alexander Volkov,Walt Harris,-190,150,Red,52.63157895,150.0
55,Jacob Malkoun,Phillip Hawes,195,-250,Blue,195.0,40.0
56,Lauren Murphy,Liliya Shakirova,-215,170,Red,46.51162791,170.0
