Fight_ID,Red_Corner_Fighter,Blue_Corner_Fighter,Red_Fighter_odds,Blue_Fighter_odds,Winner,Red_Corner_Fighter,Blue_Corner_Fighter,Red_Fighter_odds,Blue_Fighter_odds,Winner,Red_profit_on_a_100_credit_winnin_bet,Blue_profit_on_a_100_credit_winnin_bet
0,Kevin Lee,Charles Oliveira,-145.0,135.0,Blue,Anthony Smith,Devin Clark,-139.0,115.0,Red,71.94244604,115.0
1,Demian Maia,Gilbert Burns,160.0,-170.0,Blue,Miguel Baeza,Takashi Sato,-175.0,140.0,Red,57.14285714,140.0
2,Renato Moicano,Damir Hadzovic,-345.0,315.0,Red,Josh Parisian,Parker Porter,-200.0,160.0,Blue,50.0,160.0
3,Johnny Walker,Nikita Krylov,-137.0,127.0,Blue,Spike Carlyle,Bill Algeo,-177.0,140.0,Blue,56.49717514,140.0
4,Francisco Trinaldo,John Makdessi,-160.0,150.0,Red,Ashlee Evans-Smith,Norma Dumont,-137.0,110.0,Blue,72.99270073,110.0
5,Jussier Formiga,Brandon Moreno,-150.0,140.0,Blue,Jonathan Pearce,Kai Kamaka,245.0,-335.0,Red,245.0,29.85074627
6,Amanda Ribas,Randa Markos,-345.0,315.0,Red,Martin Day,Anderson Dos Santos,-167.0,135.0,Blue,59.88023952,135.0
7,Elizeu Dos Santos,Aleksei Kunchenko,-122.0,112.0,Red,Gina Mazany,Rachael Ostovich,-200.0,160.0,Red,50.0,160.0
8,Rani Yahya,Enrique Barzola,170.0,-185.0,Draw,Su Mudaerji,Malcolm Gordon,-335.0,250.0,Red,29.85074627,250.0
9,Mayra Bueno Silva,Maryna Moroz,-140.0,130.0,Blue,Luke Sanders,Nate Maness,-155.0,125.0,Blue,64.51612903,125.0
10,Bruno Silva,David Dvorak,-110.0,100.0,Blue,Deiveson Figueiredo,Alex Perez,-286.0,225.0,Red,34.96503497,225.0
11,Veronica Macedo,Bea Malecki,-155.0,145.0,Blue,Valentina Shevchenko,Jennifer Maia,-1667.0,850.0,Red,5.99880024,850.0
12,Israel Adesanya,Yoel Romero,-260.0,240.0,Red,Mike Perry,Tim Means,-150.0,120.0,Blue,66.66666667,120.0
13,Weili Zhang,Joanna Jedrzejczyk,-185.0,170.0,Red,Katlyn Chookagian,Cynthia Calvillo,205.0,-265.0,Red,205.0,37.73584906
14,Beneil Dariush,Drakkar Klose,-162.0,152.0,Red,Mauricio Rua,Paul Craig,150.0,-190.0,Blue,150.0,52.63157895
15,Neil Magny,Li Jingliang,157.0,-167.0,Red,Brandon Moreno,Brandon Royval,-190.0,150.0,Red,52.63157895,150.0
16,Alex Oliveira,Max Griffin,-125.0,115.0,Red,Joaquin Buckley,Jordan Wright,-265.0,205.0,Red,37.73584906,205.0
17,Sean O'Malley,Jose Quinonez,-330.0,300.0,Red,Antonina Shevchenko,Ariane Lipski,-167.0,130.0,Red,59.88023952,130.0
